Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
mopi 17.27387589 48.3727261  578.966    15.22    21.49     0.51   0.05   0.05   0.42 
mopr 292.06884576 18.07689836  -39.589    11.63     8.62    -0.43   0.16   0.21   0.68 
mops 10.9491945 44.62935364   92.201    18.68    21.86    -2.62   0.08   0.06    0.2 
mor1 287.25370992 40.78952497  -24.129     5.02   -15.03    -2.16   0.12   0.15   0.33 
mor2 287.25336815 40.78940446  -24.107     7.42   -13.48     0.23   0.44   0.42   2.74 
mor5 287.25370826 40.78952536  -23.970     4.74   -14.52    -2.43   0.13    0.1   0.34 
mor6 287.25336668 40.78940504  -23.929     7.41   -13.83     -1.8    0.2   0.12   0.33 
morp 358.31450168 55.21278911  144.429    16.56     15.4     2.17   0.13   0.09    0.3 
mout 248.33440464 41.04621816 1609.802    -8.04   -14.17    -0.05   0.18   0.15   0.44 
mozi 25.4221454 36.45552001  353.640   -11.41    10.98      8.1   3.02   3.09   2.68 
mpl2 302.4287024 -38.00576693   53.578    11.98    -2.66    -0.42   0.12   0.12   0.35 
mpla 302.46885802 -38.03560385   20.109    11.77    -0.29     1.82   0.53   0.43   1.66 
mple 275.2382526 43.61507742  200.666     1.28   -15.81    -2.48   0.04   0.05    0.2 
mput 248.36637084 40.01559967 1829.159    -8.36   -14.63     0.36   0.08   0.11   0.23 
mpwd 241.12198747 34.2955098  190.244    18.38   -39.41    -0.11   0.04   0.04   0.13 
mqzg 172.65470514 -43.70273606  154.674    31.58   -33.85    -2.29   0.05   0.04   0.11 
mrbl 172.77519914 -42.66175743  563.860     30.4   -24.76     1.64   0.13   0.13   0.35 
mrcd 239.56109483 37.29592659   27.851    -2.07   -22.68    -4.94   0.28   0.21   1.34 
mrdm 242.11831541 34.17522852  328.051    11.33    -35.8    -0.05   0.07   0.07   0.22 
mrep 193.25165608 53.80959458  786.686   -21.99    -7.32     3.89   0.19   0.23    0.5 
mrib 236.08592347 49.46701651   -7.760    -9.19     -8.9      3.4   0.22   0.16   0.76 
mro1 116.63749154 -26.69663791  354.057    58.03    38.47     0.19   0.07   0.07   0.23 
mrrn 258.30358016 42.90428687  971.695     -4.2   -15.34    -0.61   0.13    0.1   0.47 
mrry 241.24745005 35.29352722  241.307     1.57   -25.19     0.66   0.26   0.23   1.35 
mrsd 238.25796051 46.78534512 1629.711    -8.49   -10.94    -0.68   0.37   0.35   1.05 
msai 99.08948089 -1.32641855   28.685    29.85    34.16    -3.37    0.2   0.12   0.32 
mscg 243.35204059 34.03850146  913.068     5.69   -23.67     2.72   0.06   0.07   0.21 
mshp 238.07510804 37.55632301  172.211      6.5   -27.05    -0.47   0.09   0.13   0.39 
msku 13.55199822 -1.6316014  359.648    20.81    20.57     3.43   0.94   1.45   2.11 
msob 242.78987727 34.23084372 1733.136     4.85   -27.23      2.0   0.07   0.05   0.16 
msol 245.8911394 46.92940521  960.097    -9.63   -14.06    -0.42   0.06   0.06   0.23 
mssa 138.35231004 36.14035209 1628.080    -5.16    14.62     4.35   0.63   0.51   0.96 
mssc 270.38613127 30.3752262  -13.083    -0.14   -12.49    -1.26   0.09   0.09   0.28 
msvg 336.08713866 72.24082143   88.157     19.7   -12.09     3.39   0.05   0.07   0.32 
mswb 193.21211782 53.91469427  431.015   -21.21    -6.69     3.28   0.19   0.25   0.43 
mta1 241.75450137 34.05521802   72.667    13.89   -38.88    -1.64   0.26   0.16   0.45 
mtbl 175.53615219 -40.18136136  156.761    37.69    -7.43    -2.52   0.43   0.57   0.59 
mtdt 248.00638448 46.58850347 1217.181     -9.1   -14.17    -0.84    0.1   0.07   0.28 
mtgg 243.35277222 33.19916341 1066.715    16.08   -38.02    -0.96   0.19    0.2   0.31 
mthc 247.48995373 45.93783785 1695.981    -9.14   -14.77      1.1   0.11   0.09    0.4 
mtjn 268.71871812 -79.62701729 2161.766     8.52    12.12    -0.14   0.93   1.08   1.62 
mtjo 170.46494293 -43.98570566 1043.659    31.73   -28.78    -1.04   0.03   0.03   0.12 
mtka 139.56138469 35.67951511  108.923    -4.61    -0.95     2.54   0.11   0.18   0.42 
mtlw 250.55727223 47.05415295 1236.358    -8.42   -14.87    -0.93   0.07   0.08   0.27 
mtp1 267.63200095 14.79136619   54.499      4.3    -2.09    -1.39   0.12   0.11   0.27 
mtpr 170.35053161 -43.33640796 1548.860    41.34   -11.87     3.18    0.1   0.09   0.24 
mtqn 175.24136267 -41.00157941 1207.282    32.44   -20.02     -0.5   0.12   0.38   0.42 
mtrc 255.81909385 47.71061083  583.984    -6.16    -15.4    -2.94   0.12   0.14   0.64 
mtum 246.52758882 46.95002824 1122.306    -9.23   -14.58     -3.7   0.13   0.21   0.99 
mtv1 303.82369864 -34.91358922   40.723    11.36    -2.34     1.02   0.24   0.12   0.53 
mtv2 303.82369864 -34.91358922   40.723    11.32    -2.33     1.65   0.24   0.12   0.59 
mtve 40.16564775 -10.25991971  -11.424    15.77    22.84    -0.59   0.18   0.22   0.49 
mtwa 40.20015546 -10.26899643  -19.838     16.2    26.09    -3.15   0.31   0.35   0.72 
mtwk 238.81545697 37.77800545  -13.935    -2.75   -24.05    -6.34    0.2   0.23   1.29 
mty2 259.68709422 25.71550665  521.749    -3.63   -10.65    -1.45   0.06   0.07   0.39 
muir 238.26683994 46.83563311 3067.686    -2.44     1.15    -2.25   2.03   2.67   0.74 
muln 239.90838988 36.56508444   25.895    -0.45   -20.87   -67.27   0.25   0.26   1.37 
musb 240.69065186 37.16994114 2042.500     -2.0   -22.13     0.93   0.04   0.06   0.16 
musd 240.90395284 34.26160245   33.779    18.98   -43.05    -1.56   0.38   0.43   1.34 
mvfd 243.47469004 33.2108714 1190.085     14.7   -36.51    -0.98   0.04   0.04   0.12 
mwtp 241.05527199 37.64051949 2317.375    -3.86   -22.41     3.02   0.32   0.13   0.64 
mxs1 244.52606172 32.64353419  -33.099     9.05   -25.78    -0.89   0.34   0.34   0.59 
myt1 249.95180957 40.10266566 1610.000    -6.74   -14.16     -1.0   0.13   0.14   0.51 
myt2 249.95148696 40.10266351 1610.532    -6.79    -13.8    -0.39   0.08   0.08   0.23 
myt5 249.95180856 40.10266524 1610.068    -6.79   -14.09    -0.17   0.14   0.12   0.42 
mznt 236.06913918 45.70152811  -12.483    -4.12    -4.78     0.98   0.32   0.34   1.25 
naga 85.52121319 27.69271894 2105.195    33.83    37.05    -8.72    0.3   0.42   2.11 
nain 298.31128382 56.53697543   32.771    10.57   -16.32     4.34   0.08   0.06   0.18 
naiu 247.77037515 41.01567314 1455.779    -8.97   -15.67     0.95   0.03   0.05    0.2 
nama 42.04464515 19.21142363 2703.104     27.5    34.57     0.39   0.11    0.1   0.36 
nano 235.91352198 49.29481117    6.559    -8.36    -8.04     1.83   0.04   0.04   0.11 
nara 269.18999859 17.22676173   73.389    -0.52    -7.77    -2.24    0.3   0.22   0.92 
nas0 282.53774383  25.052539  -21.252     4.12    -9.26    -0.61   0.09   0.08   0.28 
naur 166.92555165 -0.5517312   46.250    28.98   -67.55    -0.07   0.08   0.08   0.16 
nbps 243.85182867 34.50862273 1098.787    -6.49    -15.0    -1.15   0.08   0.12   0.37 
nbr1 282.94997294 35.17515341  -24.831    -6.29   -23.03    -0.98   3.08   2.93   1.26 
nbr2 282.95018172 35.17497894  -25.069     3.59   -13.33    -0.44   0.15   0.17   0.56 
nbr6 282.95018083 35.17497918  -24.905     4.06   -13.53    -1.56   0.12   0.11   0.31 
nbtg 166.41612003 -22.24199497   66.204     46.0    20.33     -1.8   0.18   0.33    0.5 
ncdu 284.24866428 36.18167754  -26.142     4.28   -13.53    -3.17   0.06   0.06   0.22 
ndap 245.38137153 34.7676885  241.377     -8.9   -14.68    -0.25   0.05   0.04   0.14 
ndbc 270.38972337  30.356281  -11.669    -0.19   -12.33    -0.88   0.08   0.07   0.25 
nds1 264.39851061 37.30153562  237.597    -1.85   -14.77      0.7   0.15   0.13   0.51 
ndsk 264.36176411 37.38077855  225.840    -2.81   -14.54     -0.9   0.24   0.24   0.82 
neah 235.37509343 48.29785536  459.858    -4.79    -2.68     3.11   0.06   0.07   0.19 
neb3 275.84958779 46.32130059  147.025     3.36   -15.19     3.09   0.73   0.47   1.03 
neft 49.24319108 39.40433843  -29.088     18.4    30.24    -7.02   0.36   0.27    0.3 
neia 312.07503146 -25.02023911    6.062    12.74     -3.0     0.03   0.07   0.07   0.21 
netp 264.66577969 29.79115589  -10.544    -4.01    -12.0    -0.41   0.33   0.33   0.33 
nett 170.06122055 -43.75612638 2251.686    35.35   -21.11     1.45   0.86   1.42   1.54 
neva 243.68970622 36.85035131 1290.121     -9.2   -15.41    -0.53   0.14   0.09   0.27 
newl 354.45721037 50.10302838   64.522    16.86    15.85    -0.46   0.06   0.06   0.14 
newp 235.93811371 44.58502496   20.415    -2.88    -5.63     1.92    0.1   0.17   0.35 
news 242.49106566 39.68561739 1770.265    -9.54    -16.8     0.69   0.04   0.04   0.12 
nfln 241.28921536 39.42159659 1194.099    -6.82   -18.56    -2.32   0.21   0.25   0.88 
ngng 99.26832299 -1.79966162   45.901    30.72    36.06    -9.08   0.15   0.13   0.45 
nhrg 240.85874379 34.49865657 1648.744    12.58   -38.34      0.1   0.04   0.04   0.14 
nico 33.39644434 35.14098526  190.007    15.55    19.35     0.11   0.04   0.03   0.11 
nieb 286.59889673 -39.86874138   57.572    19.04    20.89      3.3   0.26   0.16   0.53 
niho 204.24108413 19.81782992  929.677    35.25    -62.4     -0.8   0.11   0.13   0.38 
nihu 287.60269172 -36.39461094  112.892    18.25    28.14     8.27    0.3   0.52    0.4 
nint 238.20291555 47.49509784  127.258    -8.48   -10.24     0.28    0.1    0.2    0.5 
nist 254.73739518 39.99506711 1648.344    -6.01    -15.0    -0.27   0.06   0.09   0.22 
nisu 254.73774813 39.9954251 1653.776    -5.75   -15.13    -0.32   0.17   0.18   0.63 
nium 190.07293446 -19.07652789   89.706    34.07   -60.93    -0.73   0.06   0.11   0.17 
njgt 285.46917981 39.47452375  -12.380     5.09   -14.65    -0.89   0.11   0.12   0.42 
nji2 285.82229563 40.74148232   16.674     4.83   -15.22     -0.8   0.03   0.04   0.14 
nklg 9.67212393 0.35390564   31.509    19.17    22.28    -0.32   0.04   0.03   0.11 
nlgn 262.20470095 42.20674345  500.377    -3.74   -16.26     4.76   0.16   0.15   0.98 
nlib 268.4251069 41.77159108  207.043    -1.15   -15.53    -1.29   0.04   0.03   0.16 
nlsn 173.43372985 -41.18350693  302.169    41.03    -4.19    -2.41   0.06   0.21   0.18 
nmai 176.80662287 -39.09704169  857.576    24.07     2.31    -0.39   0.13   0.15   0.27 
nmde 252.27392535 32.26726768 1297.829    -6.33   -12.82    -0.83   0.07   0.06   0.22 
nmea 166.44251555 -22.26478851   71.213    45.79     20.1    -0.83   0.11   0.12   0.27 
nmkm 270.59961164 36.45445302   59.935     0.07   -14.11    -0.97   0.06   0.06   0.24 
nmsf 254.04139703 35.67378973 2096.306    -5.84   -13.19    -0.88   0.05   0.07    0.2 
nmsu 253.25531864 32.27426897 1187.518    -5.95   -12.86    -0.67   0.08   0.09   0.24 
nnor 116.19271699 -31.04873659  234.837    58.04    38.33    -0.93   0.04   0.04   0.11 
nnvn 315.09893511 61.63187547 2134.570    15.32   -17.01     5.28   0.19   0.23   0.36 
noa1 23.86403315 38.0470638  537.818   -11.55     7.92      0.5   0.13   0.09   0.29 
noco 242.43042238 33.91970745  186.804    14.27    -34.8    -0.06   0.05   0.05   0.14 
nomt 248.37017984 45.59691973 1578.050    -8.89   -14.36    -0.44   0.05   0.05   0.16 
nope 244.01496084 35.96945122  844.186    -8.67   -15.12     -0.1   0.07   0.07   0.19 
nopk 241.65199182 33.97973478   33.098    16.48   -36.71     1.11   0.06   0.07   0.18 
nor1 274.56284211 44.2558259  364.082      0.5   -16.39    -2.48   0.04   0.04   0.32 
nor2 275.3166137 44.98926001  360.397     0.64    -16.9    -1.91   0.21    0.2   0.99 
nor3 276.43135368 45.06858455  174.464     0.62   -16.66    -1.16   0.05   0.06   0.23 
norf 167.93883233 -29.043346  159.015    45.24     14.5    -1.11   0.07   0.14   0.22 
norm 238.74727905 43.73887548 2161.385    -7.62   -13.81     -0.4    0.1   0.12   0.41 
nose 236.26127662 43.91190254  849.004     -3.0    -8.38    -3.42   0.36   0.29   1.22 
not1 14.98978621 36.87584364  126.345    19.89    21.35    -0.87   0.04   0.05   0.16 
noto 14.98980774 36.87610856  126.224     18.9    20.89    -0.43   0.29   0.28   0.75 
noum 166.41019998 -22.26985345   83.074     46.7    21.57    -3.35   0.11   0.16   0.39 
nova 8.61397068 45.44722919  218.572    16.05    20.19     0.94   0.13    0.1    0.4 
novj 82.90912936 55.0299249  125.930     0.56    24.55     0.73   0.31   0.29   1.12 
novm 82.90948848  55.030501  149.938    -0.84    25.21    -0.58   0.08   0.07   0.36 
npit 204.71900506 19.41227347 1131.901    49.19   -61.51    27.38   4.12   0.97   4.05 
npld 359.66036223 51.42098019   72.643    14.36    15.85     0.29   0.34   0.24    0.4 
nply 174.11817405 -39.18255614  416.948    39.79     0.23    -1.47   0.06   0.08   0.23 
npoc 204.89040641 19.39299707  809.638    29.86   -56.15    -0.49   1.71   0.82   3.89 
nprg 247.17207441 43.59719293 1500.803    -9.89   -15.89     0.07   0.19   0.16   0.55 
npri 288.67246405 41.50984645  -13.098     5.84   -15.04    -0.44   0.05   0.07   0.19 
nrc1 284.37617416 45.45416214   82.461     3.88   -16.19     3.12   0.07   0.06   0.15 
nrc2 284.3761731 45.45416233   82.472     3.48   -16.32     3.43   0.39   0.27   1.02 
nrif 35.03604113 30.03841836  457.528    20.73    24.53     0.72   0.04   0.04   0.17 
nril 88.35977819 69.3618334   47.906    -1.93    22.31     1.81   0.05   0.04   0.22 
nrl1 282.97559722  38.820747  -18.187     3.55   -14.41    -1.84   0.22   0.12   0.63 
nrmd 166.48488447 -22.22832639  160.331     45.6    20.95    -1.18    0.1   0.08    0.2 
nrmg 166.48488588 -22.22832368  160.335    45.26    21.21    -1.28   0.15   0.14   0.35 
nrrd 175.76133798 -40.38543848  500.688    31.85    -13.0    -1.28   0.16    0.8   0.71 
nrsk 342.27458592 79.15502751  347.958    20.84    -9.58     5.95   0.23   0.18   0.33 
nrsw 176.20003764 -40.1133234  364.091    30.57   -10.03    -2.54   0.35   0.71   0.64 
nrwy 249.32228305 44.71484819 2342.660    -9.83   -14.92     1.54   0.25   0.29   0.93 
nssp 44.50292401 40.22645384 1194.735    17.64    29.05     1.02   0.14   0.12    0.4 
nsss 243.02732125 32.57931371  123.605    18.62   -39.24    -0.49   0.04   0.05   0.13 
ntka 233.38338904 49.59236349   -1.566    -5.69    -4.72     3.72   0.04   0.05   0.15 
ntus 103.6799555 1.34580238   75.397    -5.52    30.03     0.51   0.06   0.09   0.16 
nupm 204.82470033 19.3847216  933.200    28.31   -59.61    19.52    2.9   1.76   4.35 
nurk 30.08968247 -1.94455128 1483.845    17.68    25.39     -1.4   0.13   0.18   0.69 
nuuk 308.26884071 64.18355267  109.347    12.26   -18.32     1.38   6.98   7.44  22.42 
nvsk 83.23544251 54.84061111  123.101    -0.88    26.33    -1.13   0.11   0.12    0.5 
nwbl 297.79729435 16.8204144  146.649    21.15     9.86     3.58   0.17   0.14   0.24 
nwcc 270.54171191 36.41661576   64.842      0.0   -14.09    -0.63   0.05   0.09   0.25 
nwot 254.40947202 40.05538665 3522.458    -6.36   -14.51    -0.24   0.26   0.43   0.94 
nya1 11.8653061 78.92955389   84.169     14.7    10.37     9.06   0.04   0.05   0.26 
nya2 11.8586338 78.93033132   81.388    14.29     9.92     9.86   0.13   0.08   0.55 
nyac 11.8653098 78.9295549   79.058     14.5    10.55     7.89   0.09   0.07   0.53 
nyal 11.86507986  78.929583   78.390     14.4    10.13     8.85   0.05   0.04   0.24 
nzrt 35.33144682 32.78249638  411.695    20.51    22.58    -0.74   0.14   0.07   0.23 
oaes 243.9322646 34.14100522  604.769    -5.17   -16.44     0.22   0.06   0.06   0.14 
oakr 237.55543401 43.73833857  375.894     -6.4   -12.02    -1.39   0.07   0.09   0.24 
oat2 241.39862576 34.32989017 1112.563    13.38   -38.08     3.96   0.29   0.21   0.56 
oax2 263.28326078 17.07833977 1607.251     2.24     -5.5     0.55   0.18    0.1   0.21 
obe2 11.27986933 48.08616944  641.425    15.77    20.38     0.92   0.16   0.17   0.61 
obe3 11.27980577 48.08618428  642.337    15.73    20.25     0.09   0.22   0.18   0.97 
obe4 11.27785691 48.08480508  650.492    15.67     20.4     0.24   0.12   0.11   0.38 
obec 236.90185129 44.06596515  111.835    -5.48   -10.91    -0.46   0.08   0.09    0.2 
ober 11.27986481 48.08616799  641.351    15.82    20.71    -1.29   0.31   0.27   0.73 
obsr 238.18463437 46.89979788 2363.111    -8.37    -9.25    -0.09   0.16   0.29   0.22 
ocen 235.84028558 46.95237122  -17.379    -0.55    -0.15     0.62   0.06   0.06   0.24 
ocsd 242.65326504 33.24066683   42.902    18.66    -38.6     -0.7   0.11   0.08   0.22 
odot 236.9991924 44.89666121   51.225    -5.61    -9.29     0.05   0.13   0.13   0.45 
ods5 257.68483676 31.87392548  858.783    -5.85   -12.25    -0.67   0.15   0.18   0.52 
odsa 241.28741058 47.32897479  468.269    -9.23   -13.35    -0.27   0.21   0.15    0.4 
oeoc 242.25586787 33.76585701  358.626     17.1   -37.83    -0.91   0.05   0.06   0.12 
ofw2 249.16884969 44.45110747 2280.607    -9.42   -15.09    -7.04    0.1   0.21   1.41 
ofwy 249.16813465 44.45177541 2287.984    -11.3   -15.49     0.04   0.29   0.33   1.17 
oghs 242.95823503 33.13060606  185.247    18.06   -38.39    -0.06   0.12   0.14   0.42 
ohi2 302.09866637 -63.32108141   32.441     9.95    15.56     2.77   0.14   0.12   0.37 
ohi3 302.09861336 -63.32109261   32.597     9.81    15.66     2.26   0.15   0.14   0.43 
ohig 302.09965749 -63.320724   30.637    10.28     14.3     4.83   0.43   0.42   1.12 
ohin 175.79067552 -39.91828986  530.675    33.87    -4.33    -0.28   0.36   0.44   0.58 
ohln 237.72701255 38.00625252   -0.536      6.1   -26.94    -0.53   0.06   0.07   0.18 
okce 191.83387074 53.42616281  527.956   -21.08   -68.94     62.4   0.72   2.37   4.27 
okee 277.40512907 42.91386252  159.720     2.87   -16.35    -1.88   0.08   0.09   0.19 
okfg 192.08844627 53.4107083  212.036   -21.74    -3.95     1.73    0.2   0.23   0.39 
okit 204.88805891 19.38324337  825.522    16.55   -52.36   -23.02   0.28    0.7   4.08 
oknc 191.87436597 53.45608596  414.059    18.98    -1.84     43.1   1.24    0.2   1.82 
okng 240.4484869 48.37341046  271.005    -9.88   -12.94     2.33    0.1    0.1   1.05 
okoh 174.06028344 -41.01926203  334.470     40.9    -8.93    -2.96   0.19   0.34   0.27 
okso 191.83795401 53.35646262  471.338    -30.0    -9.25     6.05   0.44   0.15   0.61 
olar 237.09153426 46.96119517   41.059    -6.45    -8.47     0.17   0.13   0.13   0.36 
olmp 237.10478135 47.04484688    2.626    -6.36    -7.95     0.87   0.11   0.14   0.73 
olvn 297.77227116 16.75040244   40.847    16.62     9.61     3.09   0.23   0.33    0.7 
omh1 264.08869395 41.77827539  397.783    -2.36   -15.05     1.03   0.15   0.17   0.59 
omh2 264.08850778 41.77850074  397.190    -2.38   -15.76    -2.06   0.41    0.5   1.67 
omh5 264.08869244 41.77827517  397.931    -2.78   -15.49     1.52   0.21   0.19   0.93 
onab 235.92548363 44.51452217   17.545    -2.77    -5.58    -0.53   0.06   0.09   0.19 
ons1 11.92454439 57.39533491   44.494    14.77    17.21     3.24    0.1   0.13   0.47 
onsa 11.92551261 57.39529668   45.539    14.82    17.18     2.74   0.03   0.03    0.1 
onto 243.06202562 44.02318035  646.055   -10.04   -15.39      0.2   0.13   0.15   0.49 
op71 2.33497507 48.83590596  124.578    16.17    18.54     0.28   0.16   0.17   0.56 
opbl 244.08194387 34.36988291 1226.532    -7.02   -14.69    -0.66   0.03   0.04   0.11 
opcl 243.69454414 34.42771635 1312.884    -2.73    -16.9     0.82   0.03   0.04   0.11 
opcp 243.91662865 34.36712971 1096.646    -5.54   -14.59    -0.05   0.03   0.05   0.13 
opcx 243.850517 34.43008269 1133.812    -5.41    -15.3     0.09   0.03   0.04   0.11 
opmt 2.33493783 48.83591955  122.585    16.12    18.18     0.01   0.04   0.03   0.14 
oprd 243.70772223 34.5330318 1400.205    -4.22   -17.29     0.69   0.03   0.05   0.14 
optk 177.30757901 -38.04652202  127.491    24.07     4.17    -1.78   0.09   0.15   0.22 
orc5 239.55692795 34.80207424  103.627    22.14   -41.41     0.55   0.19   0.19    0.8 
ores 239.72144519 34.73905809  143.903    22.82   -40.46    -11.4   0.07    0.1   0.65 
orid  20.794049 41.1273112  773.012     11.8    24.02     0.08   0.04   0.05   0.15 
ormt 243.18490991 34.67490389 1893.334     0.66   -22.57    -0.18   0.03   0.06   0.12 
oroa 176.6806906 -40.10436494  297.579    25.01   -12.42     -1.0   0.16   0.26   0.31 
orsb 235.95116059 44.62527233  -10.946    -2.48    -4.23     -2.9   0.11   0.14   0.47 
orvb 238.49971165 39.55462767  340.008    -4.51   -22.21     0.37   0.03   0.05   0.25 
os0g 11.92551607 57.3952983   45.562    19.13    22.82     1.59   1.39    1.6   1.68 
oshk 72.77749396 40.52993408 1013.302     8.13    27.77    -0.05   0.33   0.16   0.41 
osje 18.68048308 45.56076611  153.889    15.72    23.13    -1.07    0.2    0.2   0.48 
osn1 127.02403148 37.07756822   48.797   -12.75    26.51     1.23   0.08   0.09    0.3 
osn2 127.02403278 37.0775677   48.800   -12.24    26.62     1.29   0.22   0.25   0.76 
osn3 127.03358656 37.08268946   64.452   -11.19    29.99      0.0   0.17   0.17   0.59 
osn4 127.03358655 37.08268945   64.453   -11.05     30.1    -0.16   0.13   0.14   0.45 
otak 175.17041133 -40.81654389  245.100    35.69   -13.15     -0.4   0.13    0.4   0.41 
othl 240.83212252 46.82255351  313.777    -9.18   -13.05    -2.56   0.11   0.09   0.36 
ouca 352.13349351 31.20658785 2799.839     17.9    16.43     1.21   0.13   0.13   0.41 
ous2 170.51093478 -45.8694758   26.101    31.78   -31.77     -1.1   0.05   0.06   0.12 
ousd 170.51092271 -45.86950295   26.160    30.91   -31.53    -0.72   0.11   0.06   0.13 
outl 204.71918741 19.38692747 1103.177   -58.49   -38.34    87.72  57.26  19.41  97.36 
ovls 240.85805672 34.32735808   69.217     17.4   -39.42     -0.2   0.05   0.06   0.17 
ovsi 275.8886902 10.0018419 1180.685    20.24     11.3    -1.28   1.03    0.4   1.03 
owmg 183.63119695 -44.02429392   21.612    34.27   -40.15    -1.06   0.17   0.19   0.47 
oxec 263.94511584 16.51996806  808.484     6.24     -1.7      0.6   0.28    0.3    0.5 
oxmt 237.5756854 37.49936216  209.095    20.35   -36.57    -1.94   0.08    0.1   0.43 
oxth 264.75920751 16.28626709   41.322     1.73    -2.78     -1.6   0.16   0.22   0.33 
oxum 263.50097124 15.66224539   82.248    14.14      6.0    -4.34   0.44   0.41   0.54 
oxyc 241.79268853  34.128811  209.827    13.52   -37.47      0.0   0.05   0.07   0.17 
oylr 237.79523113 47.47463043   24.699    -8.41    -9.64    -0.93   0.12   0.15   0.34 
ozst 240.64659565 34.68337018 1059.154    12.96    -38.6     1.55   0.05   0.05   0.17 
p001 247.19829733 31.94937686  474.700    -7.51   -13.89    -0.36   0.05   0.04   0.13 
p002 242.81346898 39.5211386 1741.696    -9.57   -16.34    -0.01   0.05   0.04   0.15 
p003 245.99504828 32.72254467   50.970     -7.6   -14.25     -0.2   0.04   0.05   0.13 
p004 247.84801922 34.78438213 1791.780     -8.1   -14.16    -0.66   0.07   0.06   0.15 
p005 244.72137245 39.91017152 2015.666    -9.67    -16.6    -0.46   0.05   0.05   0.17 
p006 245.54308788 36.15418778  365.220    -8.57   -14.59     0.69   0.06   0.05   0.25 
p007 245.18028725 41.72420098 1686.584     -9.6   -16.67    -0.66   0.05   0.05   0.19 
p008 248.8699523 36.14282126 1522.051    -8.01    -14.0    -0.34   0.04   0.04   0.15 
p009 247.77728534 38.47993066 1761.518    -8.35   -14.91     -0.2   0.07   0.08   0.15 
p010 246.2686573 34.66726239 1399.052    -8.67   -14.36    -0.22   0.05   0.05   0.14 
p011 250.48077249 36.14982819 1728.504    -7.36   -14.02    -0.37   0.04   0.04   0.14 
p012 250.66616544 38.09743345 1788.498    -7.54   -14.32    -0.31   0.04   0.04   0.15 
p013 242.6700059 41.42874154 1433.410    -9.52   -16.29     0.41   0.04   0.04   0.19 
p014 248.90140381 31.97289456 1067.956    -7.42   -12.81     0.07   0.06    0.1   0.14 
p015 249.99051513 34.26381096 1930.200    -7.36   -13.54    -0.03   0.04   0.04   0.14 
p016 247.63859812 40.07812221 1730.520    -8.68    -16.4     0.06   0.05   0.05   0.17 
p017 240.06449003 41.27589625 2390.636    -7.42   -17.37    -0.31   0.04   0.06   0.21 
p018 242.93544191 42.98170658 1424.256    -9.76   -15.63     -0.7   0.05   0.05   0.18 
p019 244.68833824 43.3001962 1682.377    -9.98   -15.87    -1.09   0.05   0.04   0.18 
p020 241.4342305 47.00220887  480.124   -10.03   -13.26    -0.58   0.04   0.04   0.15 
p021 241.26974721 48.67469276 1163.164   -10.21    -13.1     0.37   0.04   0.04   0.17 
p022 241.98622745 45.23178625  888.118    -9.86   -13.89    -0.15   0.05   0.05   0.16 
p023 243.89699458 44.89843347 1521.592    -9.83   -14.16     0.02   0.05   0.04   0.18 
p024 244.1575656 47.56220213 1907.619   -10.16   -13.81    -0.05   0.07   0.08   0.25 
p025 243.71248818 48.73101421  695.452    -10.3   -13.71     0.81   0.05   0.04    0.2 
p026 252.80512751 32.6589614 1236.862    -6.31   -13.03    -0.45   0.07   0.05   0.17 
p027 254.19584016 32.80185878 2896.737    -5.63    -12.9    -0.19   0.05   0.05   0.16 
p028 252.09159172 36.03168526 1933.118    -6.84   -13.91    -0.45   0.04   0.04   0.12 
p029 252.36195713 38.4391911 2455.357    -9.41   -16.97     2.38   0.11   0.12   0.17 
p030 249.4871903 41.74981528 2149.783     -8.1   -14.65    -0.34   0.04   0.05   0.16 
p031 252.09132877 39.51549698 1657.607    -7.68   -13.41    -2.12   0.07   0.14   0.17 
p032 252.74407648 41.74167345 2167.306    -7.02   -14.75    -0.75   0.04   0.04   0.15 
p033 252.61245295 43.95289944 1375.865    -7.15   -14.51     0.68   0.04   0.04   0.18 
p034 253.54073371 34.94561989 1810.916    -6.13   -13.31    -0.14   0.04   0.04   0.15 
p035 254.81639811 34.60139331 1780.364    -5.53   -13.47    -0.34   0.04   0.04   0.14 
p036 254.70634717 36.42027481 2529.910    -5.98    -13.9    -0.61   0.05   0.05   0.14 
p037 254.89531662 38.42175406 1616.881    -6.01   -14.24    -0.31   0.04   0.04   0.15 
p038 256.59266175 34.14725538 1212.963    -5.07   -13.48     1.01   0.04   0.04   0.16 
p039 256.84604634 36.44811327 1493.590    -4.97    -14.0     0.94   0.04   0.04   0.17 
p040 257.31302116 38.07149922 1102.641    -4.95   -14.32     0.12   0.04   0.04   0.17 
p041 254.80573377 39.94949213 1728.840    -6.33   -14.82    -0.29   0.04   0.05   0.16 
p042 255.08940565 42.05150635 1422.445    -6.26   -14.88    -1.07   0.04   0.04   0.16 
p043 255.81429737 43.88114579 1490.944    -6.01    -15.2    -1.11   0.04   0.04    0.2 
p044 256.77751631 40.17179081 1411.041    -5.32   -14.78    -0.71   0.05   0.04   0.17 
p045 247.38281067 45.38287392 1618.204    -9.36   -14.59     -0.6   0.05   0.04   0.18 
p046 246.6682665 47.02959554 1290.296    -9.77    -14.1     -0.3   0.04   0.04   0.17 
