Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
acya 260.09701987 16.8379716   -4.923     5.54     0.98    -7.57   0.78   0.42   0.53 
ade1 138.6473446 -34.72900129   38.052    58.54    24.71    -1.47   0.08   0.08   0.29 
ade2 138.64734638 -34.72899783   38.047    58.78    24.43    -2.11    0.2   0.17   0.59 
adis 38.76630343 9.03513532 2439.158    18.71    24.78    -2.44   0.12   0.14   0.35 
adks 264.4135915 29.79096944    2.800    -1.52   -12.93     -3.0   0.15   0.11   0.29 
adri 275.97572142 41.91898932  205.971      1.5   -15.75    -2.21   0.04   0.04   0.16 
agmt 243.57062274 34.59428189 1337.825    -2.44   -18.59    -0.32   0.03   0.06   0.11 
agns 235.94088633 42.55276488   51.360    -2.75   -11.38     0.07   0.43   0.46   1.19 
ahid 248.93626073 42.77311979 1975.547    -8.84   -15.18    -0.58   0.03   0.05   0.14 
ahti 178.04600296 -38.41144754  563.247    19.05     0.78      0.2   0.12   0.26   0.24 
ainp 204.54198233 19.37265193 1567.845    24.64   -48.13     0.11   0.21   0.44   0.23 
aira 130.59959097 31.8240627  314.625   -18.86    24.26     1.17   0.06   0.08   0.14 
airs 297.78614347 16.74082709   84.319    16.78     9.51     5.07   0.24   0.28    0.8 
ais2 228.40079096 55.06888409   32.207   -11.11   -13.17      0.4   0.63   0.62   1.02 
ais5 228.40046384 55.06907203   32.349   -10.86   -13.53      0.6   0.14   0.14   0.32 
ajac 8.76261353 41.9274568   98.773     15.9    21.01     0.61   0.04   0.04   0.14 
akgg 194.00632915 54.19817803  350.180   -18.86    -8.23     7.41   0.24   0.11   0.41 
aklv 194.0441776 54.16269738  543.295   -21.31     -7.0     9.15   0.17   0.11    0.4 
akmo 193.9877108 54.09025856  297.960   -23.75    -8.09      3.6   0.18   0.13   0.26 
akrb 193.92891793 54.12922807  364.080   -22.82    -8.68     3.47   0.13   0.11   0.27 
akto 176.46122044 -40.53980542  432.892    26.67   -22.62    -4.73    0.1   0.29   0.19 
alac 359.51876937 38.33891969   60.332    16.72    19.88     0.19   0.03   0.03    0.1 
alal 204.40846876 19.38148848 3203.556    18.55   -54.03      3.2   0.58   0.34   0.45 
alam 244.84154265 37.35795883 1090.022    -8.97    -15.8    -0.12   0.07   0.06   0.21 
albh 236.51253076 48.38978208   31.750     -8.0    -7.83     0.64   0.03   0.05   0.09 
alep 204.35589179 19.54116168 2922.233    41.04   -67.58    -0.24   0.62   0.44   0.37 
alex 29.91099095 31.19706585   57.996    18.33    28.31    -1.24   0.16   0.65   0.58 
algo 281.92863481 45.95580002  200.867     2.59   -16.45     3.26   0.05   0.07   0.12 
alic 133.88551366 -23.67012371  603.259    59.07    31.98    -0.61   0.03   0.03   0.12 
alme 357.5405523 36.85253341  127.487    16.53    18.79    -0.22   0.04   0.03   0.12 
alon 34.60664519 31.70793636   55.677    19.46     22.6     0.72   0.05   0.06   0.17 
alpp 241.30520214 34.82449042  918.080     6.39   -27.95     1.17   0.06   0.07   0.17 
alrt 297.65953992 82.49429371   78.114     7.01   -21.89     6.55   0.23   0.21   0.27 
alth 239.33023804 36.88960597   18.790    -1.07   -22.62   -23.06   0.14   0.49   1.98 
alut 248.37978546 40.5839079 2824.004    -8.31   -14.54     -0.2   0.08   0.09   0.22 
alx2 29.91099332 31.19706679   57.990     14.2    28.29    -3.97   0.72    0.7   0.47 
amc2 255.47540725 38.80312466 1911.403     -5.6   -14.46    -0.63   0.06   0.05   0.19 
aml5 258.12153644 35.15356284 1098.102    -4.87    -13.0     0.98   0.13   0.19   0.63 
ammn 35.87953847 32.02854547 1074.525    17.74    22.88    -4.62   0.55   0.46   1.15 
ana1 240.63653302 34.01500419   22.434    21.72   -40.97     -0.1   0.13   0.07   0.25 
anat 242.86457267 46.13286453 1087.293    -9.29   -14.28     2.31   0.08   0.09   0.52 
anau 178.2912233 -38.26821285  229.324    18.17     3.26    -1.76   0.12   0.37   0.33 
and1 16.13481529 69.32605696   44.244    15.93     14.3      1.4   0.06   0.05   0.17 
anip 204.48273212 19.39564684 2599.180    20.61   -45.26     3.79   0.49   0.75   0.29 
ankr 32.75846978 39.88736973  976.041    10.29     1.89    -0.93   0.07   0.06   0.16 
antc 288.46795025 -37.33870297  745.382    11.54     9.83     3.61   0.09   0.39   0.24 
anto 261.4233588 29.49121137  263.836    -3.51   -11.95    -0.67   0.18   0.18   0.62 
aoa1 241.16968827 34.15744141  246.549     19.1   -39.44     0.18   0.09   0.08    0.3 
aoml 279.83780149 25.73469142    0.093     2.98    -9.82     0.07    0.2   0.24   0.51 
apex 245.06821233 36.31911934  761.038    -8.39   -15.39    -0.44   0.07    0.1   0.32 
aqui 13.35024692 42.36823884  713.067    17.46    21.57      0.6   0.07   0.08    0.2 
ar27 242.67506915 33.34184855   32.308    17.15   -37.99    -1.43   0.07   0.07    0.3 
ar53 242.52349464 33.38113528  111.042    17.51   -38.19    -1.26   0.07   0.08   0.29 
arco 286.77433119 -37.20585189   28.268    22.76    38.18    -9.61   0.25   0.37   0.51 
areg 288.50709581 -16.46542326 2489.345    12.42     7.79     1.06    0.1   0.13   0.24 
arel 35.20927449 32.10236199  706.261    20.43    22.46     1.85   0.21    0.2   0.62 
areq 288.50720811 -16.4655145 2488.923    13.87     8.92    -0.43   0.07   0.12    0.1 
arev 288.50720341 -16.46551665 2488.922    12.33     6.68     0.56   0.15   0.17   0.34 
argi 353.21647734 61.9973713  110.244    15.96    11.25    -2.09   0.37   0.26   0.77 
argu 242.47805783  36.050011 1791.349    -3.49   -19.27    -0.45   0.08    0.1   0.29 
